host_id,property_id,room_type,price,cleaning_fee,availability_next_30,availability_next_60,availability_next_90,reviews_per_month,review_scores_rating,review_scores_location,cancellation_policy,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,ordinal_rating,available,Years_host
15463915,11876,Entire home/apt,95.0,40.0,6,15,17,0.62,92.0,10.0,strict_14_with_grace_period,2014,within an hour,100%,0,5.0,Lisboa,38.70855,-9.14748,Apartment,3 Stars,Yellow,6
13567546,11877,Entire home/apt,98.0,0.0,4,17,35,2.95,99.0,10.0,strict_14_with_grace_period,2014,within an hour,100%,1,18.0,Lisboa,38.7106,-9.138919999999999,Apartment,4 Stars,Yellow,6
7564916,11878,Private room,45.0,25.0,26,56,70,0.17,85.0,9.0,strict_14_with_grace_period,2013,within an hour,100%,0,8.0,Lisboa,38.73104,-9.151539999999999,Apartment,2 Stars,Green,7
1756107,11879,Entire home/apt,82.0,25.0,15,29,59,0.12,80.0,9.0,strict_14_with_grace_period,2012,within an hour,100%,0,178.0,Lisboa,38.7072,-9.16841,Apartment,1 Star,Green,8
1756107,11880,Entire home/apt,146.0,56.0,6,21,33,0.32,70.0,10.0,strict_14_with_grace_period,2012,within an hour,100%,0,178.0,Lisboa,38.710440000000006,-9.13439,Apartment,1 Star,Yellow,8
119841063,11881,Private room,24.0,0.0,0,25,31,1.71,96.0,9.0,moderate,2017,within a day,50%,1,3.0,Lisboa,38.7519,-9.19097,Serviced apartment,4 Stars,Red,3
119841063,11882,Private room,30.0,0.0,0,25,31,0.7,93.0,9.0,moderate,2017,within a day,50%,1,3.0,Lisboa,38.752309999999994,-9.19023,Serviced apartment,3 Stars,Red,3
138125654,11883,Private room,48.0,11.0,6,12,24,2.93,94.0,10.0,flexible,2017,within an hour,100%,0,4.0,Sintra,38.80062,-9.38512,Apartment,3 Stars,Yellow,3
138125654,11884,Entire home/apt,98.0,19.0,3,7,14,2.45,94.0,10.0,moderate,2017,within an hour,100%,0,4.0,Sintra,38.79887,-9.38649,Apartment,3 Stars,Yellow,3
50433048,11885,Entire home/apt,150.0,0.0,1,1,1,2.31,98.0,9.0,moderate,2015,within an hour,100%,1,5.0,Lisboa,38.73264,-9.13278,Apartment,4 Stars,Yellow,5
137453801,11886,Entire home/apt,50.0,0.0,11,11,33,1.0,95.0,9.0,flexible,2017,within an hour,100%,1,7.0,Lourinhã,39.23512,-9.31898,Serviced apartment,3 Stars,Green,3
137453801,11887,Entire home/apt,80.0,0.0,18,30,60,0.17,100.0,9.0,flexible,2017,within an hour,100%,1,7.0,Lourinhã,39.236259999999994,-9.3207,Serviced apartment,5 Stars,Green,3
731092,11888,Private room,40.0,10.0,0,24,54,0.14,100.0,9.0,strict_14_with_grace_period,2011,within a few hours,100%,0,4.0,Sintra,38.75773,-9.34021,House,5 Stars,Red,9
94516948,11889,Entire home/apt,100.0,25.0,1,3,11,1.6,96.0,9.0,flexible,2016,within an hour,100%,1,2.0,Lisboa,38.76952,-9.12306,Apartment,4 Stars,Yellow,4
33316631,11890,Entire home/apt,40.0,0.0,5,5,21,4.04,94.0,9.0,moderate,2015,within an hour,100%,0,2.0,Sintra,38.75455,-9.25867,Apartment,3 Stars,Yellow,5
48672786,11891,Entire home/apt,1845.0,345.0,2,16,25,0.3,100.0,10.0,strict_14_with_grace_period,2015,within an hour,100%,0,8.0,Lisboa,38.72108,-9.13449,Serviced apartment,5 Stars,Yellow,5
